country,code,indicator,ind_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
St. Lucia,LCA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,35,40,40,40,21,9,11,11,12,3,2,137,1,29,18,22,6,15,10.243,10.39,7.04,12.36,20.9,21.8,27.9,44.3,36.2,26.1,32.44,
Latin America & Caribbean,LCN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,180,194,211,222,194,205,335,324,434,636,1221,1520,1989,3944,4691,6866,7837,10360,14048,18420,28374,38015,55544,69731,76190,80630,95846,135739,168426,190273,229472,305214,351068,353701,423327,490034,658807,773614,794303,774779,872415,1131961,1201972,1262003,1410240.5,1523714.5,1715008.243,1707745.89,1840553.73,1917233.39,1868011.36,2222808.97,2389701.86,2399425,2799851.886,2673182.918,2718069.258,
Least developed countries: UN classification,LDC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,49317,50679,52084,53558,55078,58352,58298,60030,60094,63761,65834,69434,70237,72603,73303,76071,80427,81224,87409,92754,97364,104197,110390,117375,128644,140901,165889,188737,201820,216512,235622,261527,296279,329979,372480,439391,510365,638873,724965,769021,857663,950082,1108745,1258370,1475521.2,1540822.95,1671727.8,1765647.8,1904922.59,2115261.11,2482976.1,2683820.015,2985127.57,3199789.161,3388146.188,3565424.151,3789962.023,
Low income,LIC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,5236,6287,7556,9229,11410,14143,17844,24699,40237,55934,71979,88421,105737,124063,143741,166321,193938,224904,259597,299881,349863,407563,474874,553940,700147,752455,863693,1089267,1103369,1216063,919166,970566,1123801,1152290,838985,762432,807947,519326,510701,513563,505383,550169,559957,565808,565322,574211.15,605938.2,625312.2,628726.25,648655.5,673797.9,671481.145,685993.38,695557.55,766528.86,787271.11,801111.82,
Liechtenstein,LIE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,5,10,20,20,20,20,20,24,27,31,47,56,70,40,280,430,530,699,730,1030,1530,2030,2530,3130,3359,3632,3680,6570,3900,4420,3610,2651,3462,4003,4304,5652,8233,7474,7548.679,8058.14,11912.22,8839.756,30881.3,34220.3,36037.75,30974.22,
Lower middle income,LMC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,281383,297158,310350,320926,338487,353343,374850,396099,433854,452551,475655,508108,536790,577086,635946,670604,721737,791134,909960,1004843,1148650,1268110,1387756,1548995,1669577,1814767,1919230,2195195,2544551,2761738,2873916,3128472,3425929,3610404,3958504,4323387,4633722,4760726,4951838,5562327,5827582,6434323,6998245.76,7781022.1,9310331.4,10722063.77,11928860.6,13212145.6,15493144.34,16663106.1,19035420.99,21151561.29,23903583.55,28252045.01,30055272.46,31938990.65,33818818.5,
Low & middle income,LMY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1211271,1058048,1037808,1157492,1306296,1469056,1634998,1669811,1718230,1936298,1982865,2301613,2472281,2412781,2647430,2875501,2974071,3674276,3969673,4042581,4466808,4628877,5006188,5633694,6531604,7484051,8398224,9709470,11328722,12358452,12638656,14008385,16724075.9,19911392.03,22911725,26206689,28774562,28873727,31195673,34205382.02,36400327,38604077.4,41426779.76,44139376.1,48262034.1,51528905.42,54946147.89,57976111.89,61910396.48,66022569.22,71072255.92,75569710.08,82366752.37,89635762.55,93323005.66,97515877.67,102195552.7,
Lesotho,LSO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,27,22,24,27,23,15,19,20,13,23,25,26,30,25,20,15,17,18,18,14,14,14,8,4,8,8,8,4,2,1,2,131,91,107.6,300.4,300.37,400.37,500.43,900.53,1001,1050,
Late-demographic dividend,LTE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,976768,809796,777368,891276,1023729,1172603,1320798,1334712,1352750,1555663,1579059,1869916,2017846,1916761,2092782,2287377,2336263,2966703,3137305,3109317,3384696,3426805,3674499,4131389,4926888,5739607.206,6532430.104,7557267,8844962,9693767,9868571,11000198,13411626.9,16463991.21,19305516.96,22282365.7,24548688.38,24546543.19,26662017,29067775.84,31266777.67,33139709.62,35443440.84,37533225.06,40392190.4,42431564.83,44820617.89,46904775.98,48942419.85,51898874.38,54382710.54,57096897.77,61391062.43,64337574.7,66394417.35,68550649.01,71401333.35,
Lithuania,LTU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752,4580,4666,4792,3899,2907,1874,1714,1537,1516,1516,1650,1996,2001,1750,2356,2697,2013,2224,3377,3008,3421.6,3190.99,3279.61,3581.96,4210.88,3835.8,4450.17,4392.74,
Luxembourg,LUX,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2926,6288,2235,2685,641,339,560,525,380,345,425,468,325,463,430,637,545,542,565,729,584,517.2,548.8,545.5,574.54,643.21,686.28,862.85,788.077,
"Macao SAR, China",MAC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,4,10,16,22,28,35,41,47,53,59,65,76,85,91,98,105,117,128,180,160,148,154,158,159,415,659,741,1193,1463,2072,2084,2329,2161,2793,1889,1403,1670,1538,1718,2257,1161,1636,579,657,742.12,617,692.5,988,1189,1050,1142,
Monaco,MCO,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7146,6756,7141,5124,2935,2275,1212,1401,1067,1202,1129,815,1710,1709,2335,3408,5650,6300,6800,7500,7800,8200,8800,9000,9080,9080,11000,11166.05,12011.4,
Madagascar,MDG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,4,9,13,27,53,92,127,168,190,284,181,194,231,230,280,198,2640,2289,3295,4712,5075,8582,4503,5811,7980,8449,10413,10267,9603,10296,16534,14943,14486,9716,10886,10544,9987.5,12549,15440,22694.21,25998,
Maldives,MDV,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,13871,15254,15185,17282,18812,17873,16430,15247,16444,17108,18861,20831,22806,24661,24176,25347,29021,33386,36458,40153,43979,48297,54006,57269,64142,80629,86914,93573,103775,109559,112076,105974,112637,101022,112531,132693,157331,155005,218219,297997,422223,448866,496886,588267,640497.4,724032,795618,869511.4,931994.131,971138.482,1228594.049,1311014.918,1398014.627,1496763.481,1554421.083,1624046.99,1887445.477,
Mexico,MEX,Aquaculture production (metric tons),ER.FSH.AQUA.MT,100,114,120,120,80,80,100,150,150,150,540,660,709,1984,1826,2840,2486,2960,4841,6766,8626,11089,12512,13679,10465,11230,13523,15907,17121,18249,22348,24972,26576,28068,31667,25580,31339,39500,41068,48443,53918,76063,73670,84470,104348,133131,154451,140062.3,159309,156956.6,126238,137128,143746.6,111499.8,194229.8,211621.6,221327.5,
Marshall Islands,MHL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.61,0.2,5,
Middle income,MIC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1206035,1051761,1030252,1148263,1294886,1454913,1617154,1645112,1677993,1880364,1910886,2213192,2366544,2288718,2503689,2709180,2780133,3449372,3710076,3742700,4116945,4221314,4531314,5079754,5831457,6731596,7534531,8620203,10225353,11142389,11719490,13037819,15600274.9,18759102.03,22072740,25444257,27966615,28354401,30684972,33691819.02,35894944,38053908.4,40866822.76,43573568.1,47696712.1,50954694.27,54340209.69,57350799.69,61281670.23,65373913.72,70398458.02,74898228.94,81680758.99,88940205,92556476.8,96728606.56,101394440.9,
"Macedonia, FYR",MKD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,752,744,829,526,538,652,1170,1217,787,763,864,959,843,588,1041,1287,1540,1491,1368,1306,1340,1214,991,986,
Mali,MLI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,3,6,10,12,17,13,13,31,40,52,100,100,60,60,60,80,30,500,1008,1008,1008,1008,1000,640,821,1355,2083,2083,987,2205.25,1953,2400,4194,
Malta,MLT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,200,500,650,904,904,1552,1800,1950,2002,1746,1235,1116,887,868,736,1936,2716,2702,2868,2916,2126.724,4336,5266,4917,5913,6072.917,
Myanmar,MMR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,80,110,140,180,230,290,350,430,520,620,730,860,1000,1160,1330,1520,1730,1970,2220,2500,2790,3120,3460,3840,3951,5054,5805,5493,5673,6947,7087,8822,25954,51676,64584,71700,71508,82740,81968,91114,98912,121266,190120,252010,400360,485220,574990,604660,675064,779296.4,852791,819156.4,888369,930780,964255.8,999630,1017644,
Middle East & North Africa (excluding high income),MNA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,4600,5200,5200,6000,7000,6200,5904,5610,5617,5928,6046,7205,8711,10378,11760,12906,16575,20033,23489,27870,32588,37034,42746,46245,52621,67666,74587,79392,88295,93714,95447,88519,97546,84265,94408,112819,134297,130045,192378,271331,393987,417899,466572,551758,604686,685363,754649,825826,885141.916,922093.232,1178734.862,1271064.77,1359664.502,1458487.881,1504028.973,1567255.99,1820982.5,
Montenegro,MNE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,361,614,565,740,840,811,811,859,813,929,
Mongolia,MNG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,16,21,23.58,24.53,26,31,42,42,42,
Mozambique,MOZ,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,20,20,15,15,12,10,116,36,4,0,0,0,0,0,2247,5639,1366,1782,1198,1528,1392,720,864,796,604,721,1179,1133,1180,
Mauritania,MRT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,1,5,15,16,25,30,24,42,53,50,72,73,82,78,86,100,110,142,176,165,118,83,85,87,59,56,33,350,400,443,175,245,437.4,567.5,537.3,512,397.3,777.5,775.99,1021.32,
Malawi,MWI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,2,6,7,14,32,49,70,82,107,143,123,180,188,203,215,217,197,223,223,255,225,226,240,231,229,590,530,568,642,666,733,812,1500,1500,1700,1620,2631,2833,3232,3705,4741.56,4974,7646.39,
Malaysia,MYS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,7841,7911,9968,21941,21302,21508,26709,29211,29408,30802,34296,31287,32578,42867,51946,32071,34842,49737,59058,67206,125334,73262,57185,46528,67777,51875,52107,46486,47345,53647,52919,64845,79700,105241,114112,132745,109063,107984,133635,166974,167898,177021,183990,192160,202218,215834,228317,268508,354579,472502.3,581242.9,526692.5,634875.9,530701.8,521014.5,506965.2,407887.1,
North America,NAC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,107396,105537,113061,125912,127114,135820,117494,130574,134509,120173,172272,169483,178191,175653,171622,222588,187850,178207,162833,142448,171931,234185,265146,272772,334173,332371,384869,400149,381279,401703,356943,411151,459230,469355,446842,478661,465722,520032,536165,592128,584495,633408,670945,713769,752588,668507,691596,678531,656875,637152,659040,566998,605296,597026,560921,613376,645134,
Namibia,NAM,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,20,20,22,57,66,67,67,62,62,65,70,70,88,142,192,192,273.5,360.5,605.6,665.6,695.64,564.65,701.7,701.4,644.6,635.1,590.89,
New Caledonia,NCL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,87,59,88,218,389,631,754,847,717,780,939,1061,1152,1596,1850,1765,1893,1918,1784,2290,2533,2365,1923,2106,1923,1223,1564,1666,1596,1659,1256,1587,
Niger,NER,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,9,7,8,14,20,19,36,21,8,10,17,35,11,13,12,14,15,21,40,40,40,40,40,40,40,70,70,85,100,200,329,300,300,
Nigeria,NGA,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2005,2173,2361,2547,2730,2904,3084,3265,3434,3613,3809,3993,4183,4407,4630,4860,5087,5329,5562,5782,6028,6283,6559,6842,6519,7892,5456,6002,10631,25840,7347,15365,17088,17090,15030,16619,19491,24297,20458,21737,25718,24398,30663,30677,43950,56355,84578,85087,143207,152796,200535,221128,253898,278706,313231,316727,306727,
Nicaragua,NIC,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,27,36,48,74,74,74,74,60,326,1068,2310,2504,3486,4790,4205,5435,5750,6089,7005,7880,9983,11220,11533,16078,18943,16972,15766,24351,26406.9,30566,24560,22530,
Netherlands,NLD,Aquaculture production (metric tons),ER.FSH.AQUA.MT,77600,85400,96500,89700,115800,110500,92400,85600,113600,105900,86000,95700,116200,113000,98719,112136,73330,109378,118535,97494,77052,109548,130371,119793,60319,116547,86496,99567,79163,108877,100997,51648,54105,71125,109379,83938,99871,98210,120094,108760,75231,57042,54429,66540,78598,71370,45553,56841,46895.7,55640.6,66945.1,43799.9,46129.4,46525,63039,62920,62940,
Norway,NOR,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1900,900,200,100,601,202,204,318,365,427,480,531,924,1172,2327,2517,3476,3932,5645,7377,7980,13042,15329,22712,25453,34617,49392,55379,88268,115191,150583,160705,131102,164499,218486,277615,321516,367617,410757,475932,491329,510748,551300,584422,636802,661877,712373,841560,848359,961839.8,1019802,1143893,1321119,1247865,1332497,1380890,1326216,
Nepal,NPL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,3,9,18,26,68,118,197,314,401,515,662,811,985,1192,1433,1714,2041,2271,1997,3265,4162,5435,5125,6836,9258,10314,10645,9532,9663,9918,10649,11977,12866,13028,15023,16570,17100,17680,20000,22480,25409,26679,27250,26730,28230,30950,34500,36020,43400,48000,49043,
Nauru,NRU,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.8,0,0,0,0,0,1,0.1,0.3,0.3,0.3,
New Zealand,NZL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2800,1000,2600,1900,1900,2400,2300,1800,1800,1300,1400,1900,2900,2700,2538,2071,2658,1403,1838,2783,3220,2998,6533,9720,10945,11835,16977,19366,27751,26985,28600,48700,51500,52501,51256,70391,74800,76850,93807,91650,85640,76024,86583,84641,92220,105302,107524,111908,112358,104958,110592,117266,100161,97123,109873.8,91275.3,109016.2,
OECD members,OED,Aquaculture production (metric tons),ER.FSH.AQUA.MT,699362,752083,855982,964606,960256,999453,1007880,1093973,1220520,1148108,1363396,1441377,1599742,1848183,2036606,2047515,2132535,2294859,2285225,2299087,2520610,2773164,2750548,2958145,3113952,3294884,3649426,3572809,3861872,3836895,3815369,3939816,4148475,4280296,4575274,4686399,4751779,5087688,4993082,5129865,5115356,5404016,5562281,5687887,5961838,6058984,6477226.2,6766399.7,6674243.8,6837641.43,6648023.525,6843331.47,7330860.488,7145063.364,7560353.365,7705314.746,7893344.99,
Oman,OMN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,352,515.4,218,114,96,121,118.4,127,157,168,353,282.4,170,103,
Other small states,OSS,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,56,66,69,83,105,113,135,175,201,262,249,426,815,1811,3216,4170,4754,4158,4557,5414,5872,7134,7786,8504,8752,8849,8684,7484,10836,15009,13961,16222.5,13408.5,15104.6,16173.7,17474.547,17213.288,21525.543,23238.094,24900.585,26697.19,35169.45,
Pakistan,PAK,Aquaculture production (metric tons),ER.FSH.AQUA.MT,1170,1270,1360,1470,1580,1700,1840,1980,2130,2300,2500,2700,2900,3100,3300,3600,3900,4200,4500,4800,5200,5600,6000,6500,8500,8500,8500,8500,6837,9750,10041,12795,12604,13389,14664,14848,13557,15464,17369,23076,12485,57632,66970,73047,76653,80621.97,121826,130092,135098,138099,140101,141935,142832,148120,148381,151174,156430,
Panama,PAN,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,0,0,0,0,0,2,5,15,30,80,180,380,993,1366,1507,2804,3460,3460,4187,3701,3439,3877,3820,5106,6291,5503,5079,7217,7233,2327,1779,3127,3638,6228,7048,7778,8744,8843,8254,6409.38,6397.53,7388.2,7473.6,8335.2,10335,9150.32,8808,
Peru,PER,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,5,15,40,54,117,180,254,329,422,515,630,755,1150,1530,2100,1459,3275,7708,2706,4174,4958,4869,5226,6866,5504,4862,5903,5771,7724,7931,7175,8788,6596,7551,11532,13621,22114,25981,28393,39531,43120,44317,89021,92200.35,72292.85,125692.9,115271.4,90976.46,100187.2,
Philippines,PHL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,60769,61575,62314,63070,63885,65613,66323,66880,100035,99251,101651,105699,107424,110975,140073,133446,143328,162274,223377,260479,332642,352082,407225,472370,478345,495184,470923,560970,599464,629323,671116,692401,736381,793620,869083,940619,1007677,984437,997841,1048679,1100902,1220456,1338394,1448504,1717028,1895848,2092274,2214785,2407698,2477392,2545967,2608120,2541965,2373386,2337605,2348159,2200914,
Palau,PLW,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,3,3,2,2,1,1,2,2,4,4,5,5,5,18,20,41.88,25.11,23.58,35.911,19.895,29.326,26.19,23.2,
Papua New Guinea,PNG,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,11,11,15,15,23,38,57,106,156,210,210,286,296,431,491,691,841,1123,1372,1688,1871,3225,4525,5150,6150,6200,
Poland,POL,Aquaculture production (metric tons),ER.FSH.AQUA.MT,8100,8700,7500,8800,10600,9700,10109,9927,12464,12905,9833,10365,13204,13805,13512,14599,14578,16728,11627,9932,9636,14190,12881,18000,20000,20099,18684,20472,25951,25951,26400,29500,30200,18609,24500,25111,27700,28680,29791,33711,35795,35460,32709,35436,35131,37920,35867,35628,36813,36503,30751,29037,32261,35208.13,40109.69,36971,38300,
Pre-demographic dividend,PRE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,2385,2583,2721,2927,3160,3303,3454,3625,3751,3968,4219,4473,5113,5847,6750,7447,8270,8866,9384,9825,10401,10895,11504,12154,13020,14491,13055,14713,19671,34702,15542,24702,33387,33175,32092,33956,37699,46279,43048,42021,47862,50955,66675,70127,92148,115588,169304,194253,258746,291836.1,373782.4,393130.815,448607.6,480158.15,545510.76,565233.41,577168.82,
Puerto Rico,PRI,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,86,110,113,242,284,160,143,68,58,13,164,138,154,414,462,309,457,351,306,84.3,62,51,17,20,20,19.92,20,20,20,
"Korea, Dem. Peoples Rep.",PRK,Aquaculture production (metric tons),ER.FSH.AQUA.MT,5236,6287,7556,9229,11410,14143,17841,24690,40218,55844,71743,88133,105263,123457,143138,165608,192889,223564,258006,297961,347299,404354,470917,549383,694800,744900,855100,1080000,1090000,1200000,900000,950000,1100000,1130000,817039,738317,782475,489321,481500,481500,467700,508095,508095,508095,508105,508175,508180,508250,508550,508660,508785,508800,508910,508975,553945,553950,554100,
Portugal,PRT,Aquaculture production (metric tons),ER.FSH.AQUA.MT,0,0,0,0,0,1,3,8,16,24,47,79,119,155,203,232,265,309,394,489,599,682,839,2463,6240,6402,10331,11012,10433,8549,4968,6277,6402,5970,6538,4981,5364,7185,7536,6268,7537,8209,8288,8033,6700,6696,7894,7416,7352,6728.1,8224.575,9165.39,10317.8,10067.21,11338.94,9562.876,9787.22,
Paraguay,PRY,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,22,54,51,61,60,75,75,100,190,350,350,95,95,103,570,1000,1300,2100,2120,2250,2350,2450,2600,2957.42,4929.06,5400,6450,7500,8481,8500,
West Bank and Gaza,PSE,Aquaculture production (metric tons),ER.FSH.AQUA.MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,17,37,65,115,280,189,269,284,240,276,280,
