Country,accessibility_to_cities,elevation,aspect,slope,cropland_cover,tree_canopy_cover,isothermality,rain_coldestQuart,rain_driestMonth,rain_driestQuart,rain_mean_annual,rain_seasonailty,rain_warmestQuart,rain_wettestMonth,rain_wettestQuart,temp_annual_range,temp_coldestQuart,temp_diurnal_range,temp_driestQuart,temp_max_warmestMonth,temp_mean_annual,temp_min_coldestMonth,temp_seasonality,temp_warmestQuart,temp_wettestQuart,wind,cloudiness
Russia,2143.587912,448.5335417,178.456969,0.486310126,7.381209796,20.35647316,19.35171376,63.27918605,15.34518706,52.45074501,434.7292352,49.68574242,181.5754434,69.30780447,184.9978202,50.63119081,-24.74368593,9.922327688,-19.84740069,19.95267913,-6.261876315,-30.67851168,145.2214216,12.20695908,11.54956116,3.013605722,210.9908165
United States of America,638.7575393,759.2512262,166.5603824,0.529686762,19.7438699,16.72846247,32.95288154,141.8206803,28.7873624,100.5005596,671.9117326,43.41517081,198.8176868,93.48607266,249.4290178,39.05379633,-5.388305211,12.75193874,1.420302587,26.77673145,6.602248261,-12.27706488,93.46060198,18.51898364,13.57927185,3.586281662,180.2746387
Canada,3220.715175,508.2847633,169.2907919,0.397220485,3.796340492,20.58747625,19.86286345,80.93746455,19.61225206,66.22098278,453.3184227,46.83796493,161.861002,64.99570701,177.36125,45.96372379,-23.19377971,9.232453946,-19.12040969,16.42866105,-6.83168979,-29.53506274,128.9347833,9.503739868,7.64933066,3.378885862,231.4987023
Antarctica,,,,,0,,,,,,,,,,,,,,,,,,,,,,302.8078293
Indonesia,504.8848072,342.0536882,168.270799,0.909755385,13.24086609,55.4788821,84.94240233,673.0787195,136.1740296,449.847542,2728.355157,29.43656559,677.4705708,326.2162101,904.1117109,10.00434575,24.39624844,8.508099615,24.8275285,30.13380102,24.99332749,20.12945527,4.163967777,25.39201881,24.93423673,1.366647907,293.0951072
China,466.566902,1788.508668,169.0981558,0.943246708,22.18347547,11.57931347,30.94554584,34.73668628,8.319758871,30.97523809,561.2715803,89.45302999,291.043886,120.6067701,306.5845506,39.91131351,-7.043608557,12.19498435,-5.765483845,25.19088704,6.362945884,-14.72042648,98.90280353,18.39789749,17.67292216,3.241690663,191.2446609
India,91.38082383,583.1465274,176.3244957,0.520001904,64.34377274,9.07738911,44.10012236,74.19189896,3.794327212,23.849571,1110.010678,114.9534565,294.3372254,309.20875,760.3164576,27.21371722,17.68766641,11.83342982,21.13888041,37.03347763,23.96363335,9.819760411,45.54437374,29.49096201,26.08298136,2.698925158,167.3099637
Mongolia,710.3662001,1494.593363,175.1769269,0.816572192,0.877800591,2.433120377,26.88386763,6.298572765,1.58168752,6.166105098,194.7813471,105.1421754,133.3637895,55.07452647,133.3692751,50.61461846,-18.31295089,13.7957004,-16.78419982,24.10723656,-0.091585537,-26.5073819,134.8538671,16.3809064,16.36940113,3.78683795,152.6570771
Australia,845.8680185,278.031714,183.0250431,0.089268073,7.938567206,6.056155479,49.69498141,68.50573359,11.5888329,42.90343014,467.5080881,59.33697509,170.6449075,89.63447645,234.7329262,28.09456395,14.70953766,13.98006739,18.61899367,35.18607871,21.46661781,7.091514759,49.75148677,27.37467162,24.35021582,4.151111283,126.814047
Kiribati,5805.65,0.925385577,151.6202365,0,0,15.35335689,90.64992164,494.4854312,83.84292703,289.2631192,1672.919683,29.42550701,347.6011185,206.2919017,560.0284107,6.066974057,28.07640708,5.522858606,28.29231121,31.40670685,28.25695724,25.33973295,1.385760289,28.37754508,28.16727864,,223.9380054
Mexico,191.3376166,1039.715495,172.5050984,1.03146858,12.71263489,16.22337119,58.67563951,74.17182955,10.58229837,41.15442802,771.5138685,85.71436178,275.6679393,165.895391,426.6518895,25.93124079,15.32372458,15.00428074,18.71459784,32.98682745,20.34591163,7.055586665,37.3720077,24.78395809,23.46507731,2.74994688,152.8080061
Brazil,736.7297988,326.6430843,176.1375279,0.160652538,17.28233628,39.17523662,72.73447271,366.6266717,39.31327957,141.1717948,1752.792411,60.92778773,370.3704209,277.1211893,761.9858098,15.49870416,22.949019,11.10849971,23.68000754,32.01369408,24.44774936,16.51498992,10.75879482,25.62179487,24.75486118,1.963016907,218.4850954
Chile,425.8785883,1095.077168,208.2261466,1.588154415,6.389745666,22.30922269,54.73443945,349.4240795,51.87831519,174.7882393,1047.308761,60.47595362,199.6102916,140.7162405,389.8102221,18.81186342,4.653303611,10.56684351,10.19637446,18.70599026,8.598991694,-0.105873166,30.02173796,12.36452581,7.426599321,3.816059043,183.3299469
Argentina,209.2195797,682.7992532,145.0314124,0.623855295,21.9625038,8.83360958,49.85147217,79.08767549,17.18321136,60.48630463,539.8724686,48.32124188,183.1381597,79.21688648,211.7120731,26.77335546,8.023890555,13.461877,11.09496006,28.21618946,14.20719218,1.442833996,47.56007219,20.17116935,16.47762934,4.270904356,159.0065316
Mali,1821.774328,321.3376342,176.57228,0.015913345,3.441976025,1.02830754,52.51507852,3.517844042,0.057845168,0.424866868,319.2817825,131.3175093,50.56501979,103.7708084,241.678924,29.58746084,22.14257432,15.44438087,25.24398394,42.2430557,28.249699,12.65559486,44.41116404,33.468711,31.11719642,3.699002646,136.0740396
Mauritania,2458.351223,261.903271,178.0629161,0.023469677,0.128914096,0.063985764,50.36590625,3.455872247,0.025390956,0.668451173,92.70912635,117.8625648,29.78648047,33.82191752,75.91664151,30.30918936,20.78836615,15.22545325,26.09762834,42.75250099,27.6847339,12.44331163,50.2010643,33.68060839,31.85268996,4.590983852,114.9074963
Algeria,1212.799818,556.7583169,184.9747196,0.170861495,3.690864485,0.17665622,40.29895242,25.29077848,0.934992088,6.088661767,79.45606561,67.08149343,9.5086212,13.36623208,33.29410202,36.49030621,13.15155341,14.8726741,26.92107243,41.54823266,22.96394612,5.057926453,75.11026261,32.45082811,20.8132292,4.025769508,90.67439498
Libya,1627.81014,417.5592197,160.0419948,0.048745106,0.991233751,0.003623095,45.9782417,15.41488185,6.76E-04,0.208069139,29.81124283,49.61488625,0.820696664,6.737376611,16.48756072,32.78468936,13.0248538,15.21206713,23.00573697,37.61730153,21.70001683,4.83261217,62.62162165,28.93755319,17.81770305,4.219238082,61.61793676
Sudan,1351.887663,534.0332149,172.4701756,0.066834546,9.919865614,0.9163007,57.67583238,21.33772204,0.015203308,0.146940767,234.8363384,141.488704,38.70853989,78.63975264,180.2926315,27.59993168,21.55596862,15.94464454,22.70811006,39.83315431,26.76252707,12.23322263,36.80854252,30.91749336,28.97118545,3.890765255,97.14185783
Chad,1223.188455,518.4784022,197.0957927,0.111867953,3.464731883,1.653800711,56.24520918,58.38949101,0.025211448,0.165981669,318.2463704,142.1730058,41.90483877,106.2704283,237.5346067,27.27680539,21.9850421,15.34891981,23.70706342,39.96057589,26.96063198,12.6837705,36.4815226,31.22251018,28.73371816,3.960233834,115.2755415
Ethiopia,245.5052467,1257.42189,178.387662,0.98482426,20.5313116,8.030340277,72.69171436,243.2648211,7.18869316,32.71384165,798.8404956,92.49157431,168.0527075,179.4839723,432.123357,19.22559408,21.1976747,14.00397725,22.06489784,32.60142099,22.73800117,13.37582691,12.51256338,24.33742825,22.88589602,2.75535275,170.8787202
Kenya,225.9187078,792.7533261,149.0475774,0.51500586,14.63079423,4.926112859,78.69844059,78.88435708,10.70500054,47.31530043,604.5524186,83.56515477,174.3427848,136.6397838,272.9680068,16.84838869,22.83719549,13.39546613,23.35226832,33.18655546,24.24225664,16.33816677,10.10734162,25.47474408,24.76539657,3.780477256,184.7431295
Democratic Republic of the Congo,458.610484,683.686642,187.7181146,0.168173151,1.599722372,50.46148841,78.42863845,254.0474377,34.81047406,139.7906667,1597.702318,50.84432214,413.0640402,221.9737892,605.2334177,14.26208176,23.02542933,11.03246013,23.34080395,30.93344151,23.94727605,16.67135975,6.668458404,24.66492661,23.84253896,1.484262615,254.6193409
Angola,378.2023922,1061.478991,174.2569084,0.19262862,2.794476466,19.87010918,64.33239465,8.054832235,0.260122051,4.430196881,1023.374698,91.53815947,318.5356184,202.1971332,524.28072,21.48916167,18.79351616,13.84524883,18.86688184,31.03791334,21.61187376,9.548751671,18.53581524,23.28857359,22.75898181,2.1644052,187.5170443
South Africa,141.5038538,1043.141954,184.3999503,0.447661291,12.04703082,4.417432958,54.47119206,43.25139485,9.085544868,32.92872316,480.0126204,61.19154871,198.7871431,80.6325437,219.91202,27.63989279,11.1840367,15.08094019,12.66597416,29.99145107,17.19893764,2.351558282,43.76114971,22.2866895,20.56793353,3.4581928,116.5514301
Mozambique,208.6662474,369.0420547,153.2439929,0.203266453,7.243072832,19.37680497,61.67675652,39.20023955,7.518185438,29.73283051,990.7296689,96.12688763,378.2373388,219.0250299,604.4115751,19.64300898,20.41537757,12.14863846,21.46161289,33.05514536,23.86975458,13.41213638,23.49784709,26.33422967,25.80298188,2.332200976,154.1913013
Madagascar,514.3095535,544.7815866,190.7038025,0.646853978,3.094496729,16.05287471,65.48244415,79.16816422,16.80746447,63.70618404,1376.463386,96.73478536,676.3064958,316.322236,820.0000928,18.65834236,19.65656747,12.30731743,20.06203974,31.34213014,22.8459554,12.68378778,21.8645536,25.069608,24.94374051,2.736785577,154.8765663
Myanmar,322.1251463,570.1658006,184.964498,1.034333157,25.11243856,39.29909781,48.35342771,35.77778288,5.316174281,28.35717297,1981.408964,91.47013442,650.7541158,426.6939634,1173.786418,22.14549172,18.80407606,10.74458522,19.84846366,32.92488673,23.22537673,10.77939501,29.80396723,26.31032989,25.15083815,1.71648827,202.5337387
Vietnam,99.7589702,401.03086,152.8857864,0.881312874,37.73129503,35.94349722,50.87305684,104.8582675,13.79115265,64.76704351,1788.884738,80.82526332,653.1634997,358.7812102,952.79017,16.78846977,19.40935073,8.318559018,20.1432752,31.18619252,23.35869748,14.39772275,27.96211983,26.48121659,25.50173918,1.999043494,263.9387469
Malaysia,313.268561,282.5059503,185.2039163,0.703756565,6.691351804,60.08547739,86.99983752,839.6860746,157.7685165,537.8277883,2951.677641,25.88120245,675.2413871,369.9651053,985.3449484,9.653610205,24.88329593,8.417343488,25.48537122,30.48007542,25.44340927,20.82646521,3.871056804,25.87656279,25.13247869,1.203083993,298.2812421
Somalia,288.0648578,418.6252454,152.7466857,0.226777028,2.074912341,1.21279894,69.90536931,25.44302898,1.034706954,8.423577829,271.0500062,105.0119824,94.52838304,72.99085711,140.4289071,17.51139797,24.24686148,12.24433715,25.52248354,35.26299619,26.3673695,17.75159822,16.1269322,28.23255742,27.43117014,5.349847422,133.8559865
Saudi Arabia,652.2953047,641.3239896,128.7679237,0.176330129,1.398640697,0.013973832,44.27968012,30.37417806,0.222433578,1.744215512,94.62359731,97.64929934,2.893950255,23.49607931,53.46874458,31.32649358,15.77772132,13.89981283,31.28659569,39.86923505,24.56439512,8.542741475,64.91790577,32.24043272,20.34803664,3.728877097,72.83423467
Pakistan,264.4672567,1051.985154,190.6666025,1.030050677,31.52079503,1.451869406,39.41373565,57.400858,4.069453872,19.19714204,262.7748794,87.48263028,97.44197936,62.28270092,141.2420318,35.88008413,9.613197041,14.26812586,18.05070865,36.99429338,20.00736737,1.114209249,75.10544836,28.80890258,21.46737596,2.976714228,121.050943
Afghanistan,317.7157523,1831.744397,201.4297963,1.515600142,9.511846032,0.374672645,35.90441697,128.7183596,1.722483226,8.300540073,311.3291432,91.62875592,12.68958352,67.83924585,175.8160177,40.26161137,-0.261351562,14.72469829,21.12032868,31.95010471,11.53330603,-8.311506654,88.15351475,22.67523657,3.9476596,3.432746579,114.2289826
Iran,264.2038416,1256.457706,171.7249943,1.206398202,14.77304507,0.69029561,38.03820241,95.15687992,1.350039751,5.924181057,213.1761424,85.42730822,7.906124779,43.53765635,112.1180225,37.3190406,6.253446101,14.36264811,26.46697042,36.33787462,16.9740305,-0.981165986,81.63893459,27.26973485,9.568929556,3.173667225,108.6990401
Turkey,74.81476227,1112.032911,183.2526842,1.454611434,37.05865514,7.642872826,34.08318133,219.1034911,12.40489621,46.53409288,592.3943496,51.45034883,58.43178601,91.03702229,244.1009768,33.16223341,0.818752249,11.41079033,19.56958163,28.80140691,10.75281652,-4.360826497,76.51716999,20.37051445,6.02642172,2.795238628,162.7635658
Uzbekistan,523.7900371,357.9727625,195.3145399,0.397815023,15.2674283,0.350609521,28.57270546,65.47386608,1.672349719,8.785473437,196.8237707,61.46569539,11.17754955,34.48610836,88.46949209,42.65918911,-1.618313562,12.30709087,24.52739962,34.97735182,12.39767159,-7.681837283,107.3271601,26.01290938,9.774428329,4.122328469,145.7008648
Kazakhstan,443.8329109,350.099453,186.0126193,0.185621604,17.28362616,1.536192996,23.65027056,51.37785567,10.58863803,37.37353662,251.4208112,33.37298549,72.29797952,35.05348131,90.60431894,47.09995147,-11.25344408,11.3396313,1.563364356,29.90085528,5.65980275,-17.19909619,128.7290857,21.5510482,11.89215144,4.457838501,178.722673
Norway,1335.766998,476.4796509,182.5742113,1.038794916,2.782704547,14.59362664,23.62389328,207.095786,41.10619828,138.7392795,832.5459515,25.92802025,216.3843479,100.2837241,276.1513054,25.45162782,-9.568444824,6.137714788,-2.678619549,12.15600878,-1.447926213,-13.29561904,67.62389502,7.584673562,3.689735734,,
Greenland,11245.80495,,,,0,0.29699973,15.40135835,158.5385203,42.21141083,139.4882689,687.5149064,22.36558843,167.3541332,76.99439845,216.8982885,33.47177329,-28.50678939,5.222258549,-18.87572557,0.914454823,-17.21394209,-32.55731846,99.92457598,-3.306807517,-12.28787505,,
Japan,31.67775032,351.907962,175.4546526,1.11665529,17.42374202,50.08864647,25.69109568,265.4724439,70.03503549,230.9952527,1684.074472,38.3178536,599.8718774,238.1525019,632.2074515,32.63750576,-0.367726412,8.521547178,2.185887783,27.05611817,10.4331865,-5.5813876,84.85707136,21.28794248,19.23907986,2.801730927,243.8396258
Federated States of Micronesia,5098.246204,115.204918,198.8963691,0.583963691,0,51.61595174,86.39710688,1223.29359,238.5930926,843.6619838,4547.62131,18.50653627,970.3527371,461.3080844,1327.912582,7.987673502,26.57617018,6.940323556,26.83448627,30.71864638,26.8039399,22.73097314,1.516293736,26.91444475,26.71225162,,297.9668312
French Polynesia,9274.709629,187.9063232,162.845726,1.319379391,0,50.40065681,68.15876269,235.0028718,72.94550193,234.1832976,1785.603152,43.17492506,753.2468867,270.3738191,729.1560008,9.044332879,22.63093897,6.209133681,23.30348313,28.60328916,24.02305248,19.55895635,9.988608492,25.15895464,24.81984993,5.745105743,198.0262679
Colombia,1302.412834,555.4002246,171.5702276,0.85329858,5.342935728,48.49222535,81.12976809,855.1970974,85.02041723,323.4854809,2673.855758,42.24338966,459.5920631,353.0768736,968.0703142,11.72748109,23.79082082,9.522903268,24.84909669,30.81827432,24.5855479,19.09079323,5.651496547,25.24422071,24.14380364,1.432076882,283.8555351
Peru,1027.102283,1472.204748,166.6433275,1.388491607,2.883981259,44.58837027,78.3671053,245.3844795,64.45024221,216.9614409,1561.50841,56.72363191,464.294408,207.4258137,574.2168303,15.95832405,17.8635346,12.41984559,18.2133491,26.69418204,19.16625212,10.73585799,9.018641519,20.12504673,19.74835722,1.806273649,237.8853637
Saint Helena,5744.45283,156.5681342,190.513382,0.912408759,1.578947368,,38.9591405,117.0329177,13.68724613,52.54767288,437.3056339,43.63471394,123.3277517,70.07526412,162.8543733,7.396642653,19.63611565,2.878826707,22.2209032,25.7559466,21.55838421,18.35930361,15.77983644,23.63082968,23.05012183,,214.3423742
Portugal,67.5440991,287.2909383,208.6306862,0.558974676,45.94372088,13.4162118,40.07268916,346.563166,8.188189051,52.41773962,853.9934614,56.49520504,55.71303995,123.7610035,351.0602341,23.39189054,9.067737609,9.452208115,21.17317596,28.49116165,14.99251766,5.099271105,48.26438806,21.40355522,9.589156628,2.950941965,150.3510581
Spain,50.7522396,677.8865814,186.932559,0.838064232,51.15558599,11.35839438,37.65351761,179.9202309,18.80471969,78.28119904,608.5692597,37.27020236,86.46677276,78.71736551,212.8624134,27.5676683,5.938179791,10.50884016,19.04608997,28.85990294,13.06871062,1.292234636,58.78825931,20.91502872,10.46830764,3.07863453,157.6625663
Morocco,122.8482695,865.9307738,205.196656,0.926333227,19.97214789,0.468212424,43.14126601,122.7448794,2.448355382,13.83613733,317.0179049,62.48721633,17.16012206,50.46076633,134.5937882,31.59992925,9.685607482,13.66780767,24.01355821,34.24363485,17.09638304,2.643705602,59.39153059,24.9969498,12.58810346,3.009149451,114.7163515
Western Sahara,674.6129619,251.5360352,216.0900921,0.014442678,0.000976216,0,51.69823219,13.61252235,0,1.318849807,38.92484999,76.60385824,11.66186078,9.452020251,20.627753,24.21442954,17.06080209,12.45331986,22.64995894,34.88439201,22.25277278,10.66996247,39.56829264,27.45051561,23.42956361,5.299204932,88.65574866
Burkina Faso,115.863687,302.308181,169.5040491,0.005361851,14.99302949,2.577537442,60.67141261,174.0033395,0.436663109,3.489307969,760.5410968,115.270016,107.6509889,213.8511661,517.2103181,22.10615096,25.6022003,13.47417112,26.03929599,38.81850909,28.0705766,16.71235813,22.10522548,31.17071126,26.76171172,2.838656546,179.2996061
Ghana,111.7684195,178.7376596,174.6223057,0.076011158,7.86570414,13.37037038,68.49598353,461.2871683,11.1113925,60.23839721,1247.324509,69.16601944,230.4493067,228.2475287,558.7904586,15.12854641,25.24794245,10.35133125,27.27971141,35.10921107,26.93577063,19.98066467,13.08463776,28.70684388,26.13313388,2.103483113,226.7781038
Nigeria,71.87490841,325.1066464,174.6277329,0.136884238,32.52775857,6.504077418,62.38550202,381.7840794,4.036924101,19.84657971,1178.865428,100.4058918,170.8050845,259.5383404,655.5570673,19.96830424,24.2388495,12.25817595,25.42278178,36.37352199,26.42594675,16.40521774,18.69677639,29.04652441,25.30590376,2.360358523,215.2588468
Central African Republic,641.7017814,598.8563825,184.7410622,0.050319033,0.836618936,22.3912331,68.18387814,292.1427753,7.736798575,38.30318022,1370.818579,76.00470021,228.7975605,240.4837972,672.5849184,19.84075437,23.65497696,13.47140012,24.39698128,34.67416662,24.88827668,14.83341225,11.06936033,26.4342848,24.1948326,1.874747175,232.9623132
Cameroon,236.3700829,644.7877392,183.0127184,0.372539614,2.974246514,36.37377217,72.52839511,597.453824,16.20490177,69.91608167,1658.456494,73.28117688,309.7400636,299.8997651,781.5772319,15.09928381,23.05818434,10.76404605,24.21842683,32.21069431,24.2571842,17.1114105,10.39589376,25.65909373,23.38480356,1.572129273,253.9292534
Niger,1310.854178,459.901761,176.1534035,0.038545236,5.835458877,0.140055755,51.80801395,0.031234391,0.001150683,0.02555338,137.9025497,144.507978,26.23598914,55.05359259,115.5592941,29.4663514,20.44084442,15.30200826,22.35526928,40.71231381,27.14037339,11.24596241,46.69096187,32.33253137,30.57675088,3.973613961,97.50453286
Italy,34.91613596,512.1286918,160.1416916,1.387384954,49.08264778,18.50560086,30.94412531,204.2105214,35.97428636,127.4077848,820.7409628,32.25700206,168.558401,103.9371606,282.5380642,25.77539158,4.282619036,8.110064905,14.16607022,26.18850366,12.03410273,0.413112076,62.19182123,20.06856017,11.65675973,2.648620802,180.2154438
Tunisia,199.6896395,258.9149633,175.6860227,0.299653393,29.4057707,0.588560255,38.80149417,84.83399588,2.402459121,15.33299491,229.2123383,53.76545724,21.99214798,33.61746301,90.19084003,32.10506271,10.40289164,12.61165815,27.59262247,36.53704521,19.08566103,4.431982492,67.72301664,27.72498106,13.13519223,4.053837793,108.1433595
Egypt,954.9943764,301.3547095,173.8262149,0.181041694,4.472106509,0.220351628,47.98018289,8.009986995,3.09E-04,0.020844349,14.16166365,44.88697198,0.266930866,3.757425514,8.928621964,30.94329147,13.87405966,15.0457614,20.07583686,36.65638365,21.98671382,5.71309218,58.57499418,28.72933306,16.98408231,3.87529339,50.35722873
Jordan,323.3769902,763.2459355,170.1490923,0.495499717,4.970053588,0.010056707,42.96583255,59.31336284,0,0,105.0161126,84.09310023,2.18E-04,22.1739213,60.32765754,32.43862177,9.114389177,14.08026726,26.27952862,34.8514409,18.32161898,2.412819124,67.82432692,26.32389486,9.947802229,3.794339174,75.20384239
Syria,125.6040405,521.2332574,165.2021547,0.348500315,35.52881962,0.166570686,39.01708541,130.6384985,0.040859869,0.953299173,248.0164225,81.88910243,1.361116562,49.32627354,131.7985283,35.37429107,7.529617112,13.95376452,27.65416368,36.9670644,17.76447057,1.59277333,79.00052612,27.7279105,8.092531189,3.834949049,97.4519902
Iraq,288.6228424,302.2031598,135.4109607,0.172732267,22.19547912,0.05742525,37.66641436,106.0793268,0.013522705,0.097319882,205.0727579,87.51993813,0.118477068,41.07748041,110.3503684,38.48146663,9.924836999,14.68198551,32.24646717,41.76709258,21.46455863,3.285625955,87.69612724,32.24938644,10.74972341,3.725304928,93.7536235
Eritrea,377.8881988,784.20485,165.6361181,1.036752751,4.452478509,0.747528498,63.08562335,50.78002151,3.511686187,18.79682559,353.0583442,97.57898898,80.49291443,96.12172694,223.6130827,21.49395403,22.96258401,13.71164037,25.09350069,37.10833596,26.12630456,15.61438193,24.01402545,29.10581109,26.06321792,3.090920724,124.3660544
South Sudan,336.583957,521.8058937,153.2856272,0.06837395,1.272882326,11.7777372,70.0691029,404.5433744,2.638008317,14.4450012,967.9805155,82.98430734,130.2764968,183.7059494,496.9039023,19.09028159,25.31609376,13.38987656,26.67873376,36.84021341,26.77128577,17.74993182,12.83460327,28.60622794,25.49261945,2.14426053,216.4341759
Uganda,126.0779246,1152.361031,169.1255989,0.365036439,26.42464442,19.36235802,80.82890714,312.4436071,29.96284565,124.0594003,1194.306112,46.57992252,203.5064737,175.1681156,455.3289605,14.8774834,21.52530356,12.04580229,22.86989545,30.47448799,22.47570904,15.59700459,7.392921856,23.43973031,22.04616225,1.786966623,243.254396
United Republic of Tanzania,264.9564604,1025.625982,170.5614399,0.501144524,20.00492834,13.58644133,68.70164156,30.31602496,4.885784795,21.03303162,976.2154128,87.70718116,279.2867709,198.3863216,513.3121006,15.88150829,20.64005436,10.95981609,20.79523223,30.10633789,22.47319173,14.2248296,12.7158179,23.85649175,23.11337157,2.346098589,194.8854801
Malawi,109.7700942,925.9167949,158.5645583,0.766269656,36.94958297,13.05164158,57.44849241,20.72394904,2.8532299,13.2761354,1071.260052,106.1647201,295.0086465,248.7430754,678.123718,18.89717035,18.39836145,10.93940198,19.39689405,30.51372231,21.74749596,11.61655196,22.53399769,24.18665891,23.16276185,2.356043926,167.5018674
Zambia,225.2367696,1126.881278,190.9006839,0.185149305,7.632260651,20.18173889,56.98423452,3.292717528,0.027900481,0.76763036,1023.999592,109.2374867,284.9528562,234.8527289,661.7428786,24.38245429,17.45463235,13.98004516,17.53188913,32.4442829,21.19591605,8.061828612,25.30675327,23.75917956,22.58824718,2.579925928,161.4912803
Republic of the Congo,784.917105,420.1355076,162.3708269,0.10309328,0.539330832,48.15380493,76.35832769,204.6643778,27.12127145,121.9133733,1652.324335,51.81212243,521.8359925,244.5183393,627.7627391,12.69907298,23.28593479,9.711352178,23.45822625,30.85523789,24.46744236,18.15616491,8.283741266,25.37151991,24.56118425,1.458389408,272.8348147
Namibia,348.9447039,1083.725927,181.7447314,0.327853154,0.743304458,0.971638497,59.06147728,3.508725168,0.324268115,2.26236014,284.2193767,101.1972866,117.0512673,71.318404,188.0295057,25.79147978,14.81743787,15.24407804,15.3532379,31.42565009,19.86909184,5.63417031,35.54705229,23.70117594,22.96752713,3.247668179,101.5140547
Botswana,386.9066591,1037.202122,162.7331166,0.006235179,1.07768452,1.664163878,55.61239805,4.191613553,0.607268767,3.661472515,395.662629,91.84448933,178.2584237,88.15374399,233.4609667,29.01835157,14.68225261,16.26926335,14.69506112,33.27720865,20.83429281,4.25885708,42.94332097,25.22012517,24.74899882,3.201352424,112.3620914
Zimbabwe,138.6263087,980.7205834,186.053171,0.253010454,24.66297879,6.935139882,56.6239958,8.158174378,0.961426618,6.335153232,667.5590611,105.1632419,277.5971509,161.2144837,443.0997794,24.64898765,15.90026485,14.06951393,16.09133356,31.44679328,20.49554675,6.797805623,31.38505608,23.58590726,22.97173893,2.77145431,130.2209263
Indian Ocean Territories,1443.351097,87.18716578,196.5,0.360962567,0,57,74.20403233,182.3248267,28.85668912,119.4338106,1911.249132,56.92828497,676.3584994,290.2789845,829.4013328,6.546671946,24.7013553,4.882105162,24.84390148,29.02757142,25.55925474,22.48089931,5.736597199,26.23976568,25.94041787,,250.9625668
Thailand,114.0083334,279.3319752,163.7712642,0.514702642,52.0042551,23.74813794,56.71028517,120.6069682,10.2617752,49.15002193,1486.492648,79.44387043,369.0562409,297.8545891,750.8463712,18.96792813,23.39675004,10.62210491,23.81098114,34.96544742,26.15024113,15.99751929,18.71620725,28.23370663,26.60232782,2.013597444,238.1278189
Laos,332.6967108,654.6303959,186.9087292,0.99912648,10.06027023,53.93052317,53.61909039,45.63030518,6.874532007,38.97859547,1894.803173,93.35706798,729.096383,436.958752,1128.399866,19.61515473,19.10546694,10.61584096,19.34087019,31.24641109,22.93850954,11.63125637,25.73205374,25.52836427,24.90234185,1.459830587,227.7988883
Palau,2875.030189,51.00114811,112.2158439,0,0,,88.10135683,705.231964,173.5475208,569.4477992,3517.660454,25.03721901,872.763275,419.4130946,1168.617508,7.789864317,27.03694886,6.9,27.28127461,31.34479048,27.33403444,23.55492607,2.357330356,27.58178273,27.2854991,,296.4117394
Philippines,120.2060505,312.3749269,176.1448694,1.180484575,21.02260645,41.50003066,74.85619151,517.3208749,78.53875225,270.0309285,2558.66669,50.56688382,567.2849526,400.7906999,1065.983588,11.46660561,24.17476106,8.566267556,24.90267797,31.19263849,25.28499795,19.72603289,7.964718286,26.21692042,25.08250008,1.999443382,270.7356054
Kyrgyzstan,294.995392,2651.341747,197.8754796,2.698600976,9.674154256,3.086678781,26.8261421,74.69960544,11.16098995,43.65525307,423.9228488,53.63877222,111.7160256,68.68046752,185.4301354,41.30992151,-13.17004296,11.28048389,-2.082164242,21.47567162,0.990542884,-19.83424989,102.9301419,13.3527656,6.955751418,2.795844935,197.0991025
